VAR;SEXE;CITP;D1;D2;D3;D4;D5;D6;D7;D8;D9
DIST_REMU;F;1;29570;37418;43030;47544;52533;58515;66533;77779;102387
DIST_REMU;F;2;20698;26498;31176;35370;39257;43416;48492;56162;71676
DIST_REMU;F;3;17373;22885;26666;29678;32468;35186;38431;42737;50285
DIST_REMU;F;4;13024;17344;20894;23250;25119;27206;29547;32582;38555
DIST_REMU;F;5;12904;17500;20519;22585;24582;26423;28805;31478;36057
DIST_REMU;F;6;12731;17478;19716;21854;23370;24890;26788;29020;32729
DIST_REMU;F;8;16362;21501;23186;25071;26407;28348;30056;32272;38905
DIST_REMU;F;9;8306;10701;12782;15604;18627;20582;22574;25594;29677
DIST_REMU;H;1;30857;41678;47395;54463;61976;69950;82328;100463;139992
DIST_REMU;H;2;29671;36311;41950;47480;52843;58795;66164;77471;99051
DIST_REMU;H;3;22781;27592;30924;33877;37321;40481;44330;49611;58413
DIST_REMU;H;4;13344;19346;21733;23387;25558;27843;30909;34830;41356
DIST_REMU;H;5;12838;19028;21936;24331;26425;28974;31551;35373;41647
DIST_REMU;H;6;15697;21864;24083;26207;28074;30154;32409;35738;41368
DIST_REMU;H;8;19207;22693;25180;27715;29839;32361;35308;38835;44986
DIST_REMU;H;9;9993;12636;16266;19631;21738;23584;25832;28854;34248
DIST_REMU;F;E;12922;18306;21925;24674;27477;30496;34796;41245;52986
DIST_REMU;H;E;16257;22050;25304;28389;31659;35928;41298;49858;66549
DIST_REMU;E;1;30328;39793;45260;50622;56981;64607;74586;90670;125037
DIST_REMU;E;2;23821;30805;35826;40748;45439;51111;58063;67915;87297
DIST_REMU;E;3;19589;25271;28803;31721;34666;37804;41693;46353;54614
DIST_REMU;E;4;13032;18113;21275;23265;25268;27368;29987;33391;39708
DIST_REMU;E;5;12884;17719;20860;23083;25132;27216;29777;32749;37989
DIST_REMU;E;6;14887;20633;23206;25373;27183;29283;31532;34640;40500
DIST_REMU;E;8;18794;22422;24864;27279;29054;31510;34589;38194;43964
DIST_REMU;E;9;8946;11356;14259;17626;20017;22093;24519;27342;31564
DIST_REMU;E;E;14147;20277;23535;26529;29600;33177;38196;45587;60545
DIST_SALH;F;1;16,6;19,8;22,2;24,3;26,6;29,4;32,9;38,2;48,9
DIST_SALH;F;2;12,1;15,2;17,5;19,5;21,3;23,3;25,7;28,6;35,2
DIST_SALH;F;3;11,6;13,5;15;16,2;17,3;18,5;20;21,8;24,7
DIST_SALH;F;4;10,1;11,4;12,1;12,9;13,7;14,7;15,7;17,1;19,3
DIST_SALH;F;5;10,4;11,5;12,1;12,9;13,8;14,7;16;17,3;19,6
DIST_SALH;F;6;10,6;11,3;11,9;12,4;13;13,6;14,3;15,5;17,2
DIST_SALH;F;8;11;11,7;12,2;13;13,4;14,1;15,1;16,1;19
DIST_SALH;F;9;10,4;10,9;11,3;11,6;12,1;12,6;13,2;14,2;16
DIST_SALH;H;1;17,4;21,8;24,8;27,8;31,1;35,1;40,5;49,5;67,8
DIST_SALH;H;2;15,2;18,8;21,4;23,9;26,5;28,9;32;37;46,6
DIST_SALH;H;3;12,2;14,4;16;17,3;18,6;20,2;22;24,4;28,6
DIST_SALH;H;4;8,5;11;11,7;12,5;13,4;14,4;15,7;17,5;20,5
DIST_SALH;H;5;10,8;11,8;12,3;13;14,1;15,4;17,1;19,9;23,5
DIST_SALH;H;6;10,1;11,8;12,8;13,7;14,6;15,6;16,7;18,1;20,7
DIST_SALH;H;8;10,8;11,8;12,8;13,6;14,6;15,8;16,8;18,4;21,1
DIST_SALH;H;9;6,6;10,4;11,1;11,7;12,2;13;13,7;14,7;16,9
DIST_SALH;F;E;10,9;11,8;12,8;14;15,5;17,1;19,3;22,3;27,7
DIST_SALH;H;E;10,8;12,1;13,4;14,8;16,4;18,5;21,2;25,4;33,5
DIST_SALH;E;1;16,9;20,7;23,5;25,9;28,9;32,3;37,1;44;59,5
DIST_SALH;E;2;13,1;16,7;19,1;21,2;23,4;25,8;28,5;32,5;41,3
DIST_SALH;E;3;11,9;13,9;15,4;16,6;17,9;19,3;21;23,2;26,7
DIST_SALH;E;4;9,7;11,2;11,9;12,7;13,6;14,6;15,7;17,2;19,7
DIST_SALH;E;5;10,6;11,6;12,2;12,9;13,8;14,9;16,3;18,1;21
DIST_SALH;E;6;10,2;11,6;12,5;13,5;14,3;15,2;16,3;17,7;20,2
DIST_SALH;E;8;10,8;11,8;12,6;13,5;14,3;15,5;16,5;18,1;20,8
DIST_SALH;E;9;8,2;10,8;11,2;11,6;12,2;12,7;13,4;14,5;16,4
DIST_SALH;E;E;10,8;11,9;13,1;14,4;16;17,8;20,2;23,9;30,6
